Facility name,City,Adequately immunized %,Exempt %,Conditionally enrolled %,Extended conditionally enrolled %,Out of compliance %
Bella Vista School,Cottonwood Heights,85.0,7.5,0.0,7.5,0.0
Intermountain Christian School,Salt Lake City,52.9,47.1,0.0,0.0,0.0
Vista School,Taylorsville,95.7,1.4,0.0,2.9,0.0
,,,,,,
Brookwood School,Sandy,95.7,4.3,0.0,0.0,0.0
St Francis Xavier Catholic School,Kearns,100.0,0.0,0.0,0.0,0.0
Valley Crest School,West Valley City,96.2,1.9,0.0,1.9,0.0
East Sandy School,Sandy,88.7,11.3,0.0,0.0,0.0
Saint Vincent De Paul Elementary,Salt Lake City,100.0,0.0,0.0,0.0,0.0
Woodstock School,Salt Lake City,89.9,6.7,0.0,3.4,0.0
Elk Meadows School,South Jordan,91.7,6.7,0.0,1.7,0.0
Cedar East School,Cedar City,89.2,8.1,0.0,2.7,0.0
Cedar North School,Cedar City,81.5,16.3,0.0,2.2,0.0
Granite School,Sandy,76.1,15.2,0.0,8.7,0.0
,,,,,,
Cedar South School,Cedar City,90.0,10.0,0.0,0.0,0.0
Escalante Valley School,Beryl,68.4,31.6,0.0,0.0,0.0
Heartland School,West Jordan,92.2,7.8,0.0,0.0,0.0
Jordan Ridge School,South Jordan,88.0,8.0,0.0,4.0,0.0
Jordan Hills School,West Jordan,92.3,1.5,0.0,6.2,0.0
Oak Hollow School,Draper,87.0,7.2,0.0,5.8,0.0
Lone Peak School,Sandy,86.9,13.1,0.0,0.0,0.0
Majestic School,West Jordan,90.9,9.1,0.0,0.0,0.0
Midvalley School,Midvale,86.7,7.1,0.0,6.1,0.0
South Jordan School,South Jordan,84.0,11.3,0.0,4.7,0.0
,,,,,,
Southland School,Riverton,87.0,11.6,0.0,1.4,0.0
Monte Vista School,South Jordan,90.7,7.0,1.2,1.2,0.0
Terra Linda School,West Jordan,84.3,4.3,0.0,11.4,0.0
Rose Creek School,Riverton,84.1,0.0,1.4,14.5,0.0
Oquirrh School,West Jordan,79.5,9.0,0.0,11.5,0.0
Sprucewood School,Sandy,87.5,10.4,0.0,2.1,0.0
Oakdale School,Cottonwood Heights,77.6,13.8,0.0,8.6,0.0
Peruvian Park School,Sandy,91.8,5.9,0.0,2.4,0.0
Enoch School,Enoch,93.3,6.7,0.0,0.0,0.0
Fiddlers Canyon School,Cedar City,82.9,14.3,0.0,2.9,0.0
,,,,,,
Parowan School,Parowan,78.7,19.1,0.0,2.1,0.0
Fillmore School,Fillmore,88.8,11.2,0.0,0.0,0.0
Bluffdale School,Bluffdale,82.0,12.0,1.0,5.0,0.0
Columbia School,West Jordan,80.5,2.6,0.0,14.3,2.6
Copperview School,Midvale,77.3,0.0,0.0,22.7,0.0
Morgan School,Morgan,85.7,10.2,0.0,4.1,0.0
Brockbank School,Spanish Fork,94.7,5.3,0.0,0.0,0.0
Brookside School,Springville,64.4,23.7,1.7,10.2,0.0
Canyon School,Spanish Fork,91.4,5.7,2.9,0.0,0.0
Crescent School,Sandy,80.6,6.9,0.0,12.5,0.0
,,,,,,
Goshen School,Goshen,82.4,11.8,2.0,3.9,0.0
Draper School,Draper,86.8,11.0,0.0,2.2,0.0
Westside School,Springville,90.7,9.3,0.0,0.0,0.0
Wilson School,Payson,87.5,12.5,0.0,0.0,0.0
East Midvale School,Midvale,75.0,2.5,2.5,20.0,0.0
Riverton School,Riverton,92.2,7.8,0.0,0.0,0.0
Riverside School,West Jordan,79.7,2.7,0.0,17.6,0.0
Quail Hollow School,Sandy,91.1,8.9,0.0,0.0,0.0
Park Lane School,Sandy,88.6,11.4,0.0,0.0,0.0
Moroni School,Moroni,98.0,0.0,0.0,0.0,0.0
,,,,,,
North Summit School,Coalville,70.0,26.0,0.0,4.0,0.0
Montezuma Creek School,Montezuma Creek,88.9,0.0,5.6,5.6,0.0
Ephraim School,Ephraim,78.8,15.0,0.0,6.2,0.0
Monticello School,Monticello,66.7,24.2,0.0,9.1,0.0
Mona School,Mona,66.7,29.2,0.0,2.1,2.1
Northlake School,Tooele,84.6,6.2,9.2,0.0,0.0
Anna Smith School,Wendover,100.0,0.0,0.0,0.0,0.0
Gunnison Valley School,Gunnison,83.3,0.0,16.7,0.0,0.0
Manti School,Manti,75.0,19.6,0.0,5.4,0.0
Red Cliff School,Nephi,81.8,12.1,0.0,6.1,0.0
,,,,,,
West School,Tooele,94.6,2.7,0.0,2.7,0.0
South Summit School,Kamas,82.9,13.4,0.0,3.7,0.0
Kanab School,Kanab,78.5,17.7,0.0,3.8,0.0
Valley School,Orderville,76.5,23.5,0.0,0.0,0.0
Maeser School,Vernal,90.5,9.5,0.0,0.0,0.0
Naples School,Naples,88.6,7.1,0.0,4.3,0.0
Ashley School,Vernal,82.4,10.8,0.0,6.8,0.0
Davis School,Vernal,83.1,13.0,0.0,3.9,0.0
Discovery School,Vernal,82.4,14.8,0.0,2.8,0.0
Jr Smith School,Heber City,88.6,5.7,0.0,4.3,0.0
,,,,,,
Larsen School,Spanish Fork,90.8,9.2,0.0,0.0,0.0
Mapleton School,Mapleton,80.5,15.6,0.0,3.9,0.0
Enterprise School,Enterprise,60.8,37.3,0.0,2.0,0.0
Mt Loafer School,Salem,83.9,16.1,0.0,0.0,0.0
Park School,Spanish Fork,89.7,8.0,1.1,1.1,0.0
Park View School,Payson,87.9,8.6,1.7,1.7,0.0
Rees School,Spanish Fork,90.3,8.1,0.0,0.0,1.6
Hurricane School,Hurricane,76.6,20.8,0.0,2.6,0.0
Red Mountain School,Ivins,75.7,21.4,2.9,0.0,0.0
Santa Clara School,Santa Clara,80.4,19.6,0.0,0.0,0.0
,,,,,,
Sage Creek School,Springville,94.2,5.8,0.0,0.0,0.0
Salem School,Salem,84.1,12.5,3.4,0.0,0.0
Santaquin School,Santaquin,86.3,12.6,0.0,1.1,0.0
Taylor School,Payson,85.5,10.9,0.0,3.6,0.0
Bates School,Ogden,92.0,6.7,0.0,1.3,0.0
Washington School,Washington,81.8,18.2,0.0,0.0,0.0
Spring City School,Spring City,94.1,5.9,0.0,0.0,0.0
H Guy Child School,Ogden,82.1,12.8,0.0,5.1,0.0
Green Acres School,Ogden,91.3,8.7,0.0,0.0,0.0
Hooper School,Hooper,90.5,4.8,0.0,1.6,3.2
,,,,,,
Farr West School,Ogden,87.2,12.8,0.0,0.0,0.0
Kanesville School,West Haven,96.0,3.0,1.0,0.0,0.0
Lakeview School,Roy,91.4,6.9,0.0,0.0,1.7
Majestic School,Ogden,91.6,8.4,0.0,0.0,0.0
Jeremy Ranch School,Park City,91.4,6.9,0.0,1.7,0.0
Lomond View School,Ogden,83.8,13.5,0.0,2.7,0.0
Pioneer School,Ogden,93.2,6.8,0.0,0.0,0.0
Midland School,Roy,90.2,6.6,0.0,1.6,1.6
Municipal School,Roy,95.2,4.8,0.0,0.0,0.0
North Ogden School,Ogden,83.6,16.4,0.0,0.0,0.0
,,,,,,
Riverdale School,Ogden,93.4,6.6,0.0,0.0,0.0
Roosevelt School,Ogden,91.3,2.2,0.0,2.2,4.3
Roy School,Roy,88.2,11.8,0.0,0.0,0.0
Uintah School,Ogden,93.1,5.6,0.0,1.4,0.0
Bonneville School,Salt Lake City,98.2,1.8,0.0,0.0,0.0
North Park School,Roy,86.8,7.4,0.0,5.9,0.0
