School,City,Adequately immunized %,Exempt %,District/LEA,Address,Zip,Map,school_type
viewmont school,murray,87.1,11.3,Murray District,745 W 5720 S,84123,"geo:40.647031,-111.911614",Private
nebo view school,nephi,72.1,14.8,Juab District,380 E 200 N,84648,"geo:39.720292,-111.827006",Private
ranches academy,eagle mountain,84.9,15.1,Ranches Academy,7789 TAWNY OWL CIR,84005,"geo:40.359372,-111.985289",Public Charter
copper canyon school,west jordan,83.3,8.3,Jordan District,8917 S COPPERWOOD DR,84081,"geo:40.590636,-112.021291",Private
copper canyon school,tooele,94.4,2.8,Tooele District,1600 N BROADWAY,84074,"geo:40.559791,-112.28834",Private
riverside school,washington,80.2,19.8,Washington District,2500 S HARVEST LANE,84780,"geo:37.096856,-113.519077",Private
davinci academy,ogden,79.6,20.4,,,,,Public
west haven school,west haven,91.2,8.8,Weber District,4385 S 3900 W,84401,"geo:41.184443,-112.076201",Private
bridger school,logan,97.5,2.5,Logan City District,1261 N 400 W,84341,"geo:41.755161,-111.84523",Private
north davis preparatory academy,layton,95.7,4.3,,,,,Public
reagan academy,springville,96.2,3.8,Reagan Academy,1143 W CENTER,84663,"geo:40.166254,-111.63111",Public Charter
american leadership academy,spanish fork,81.2,17.9,,,,,Public
beehive science & technology academy k-6,sandy,92.4,7.6,,,,,Public
riverview school,spanish fork,87.0,10.2,Nebo District,628 S WEST PARK DRIVE,84660,"geo:40.101197,-111.665113",Private
butterfield canyon school,herriman,82.9,6.6,Jordan District,6860 W MARY LEIZAN LANE,84096,"geo:40.50032,-112.054354",Private
snow springs school,lehi,94.1,5.9,Alpine District,850 S 1700 W,84043,"geo:40.377807,-111.87769",Private
westfield school,alpine,80.0,18.0,Alpine District,380 S LONG DR,84004,"geo:40.448029,-111.7905",Private
buffalo point school,syracuse,84.5,13.8,Davis District,1924 SOUTH DORAL DRIVE,84075,"geo:41.086664,-112.095078",Private
walden school of liberal arts,provo,72.4,17.2,,,,,Public
canyon crest school,provo,92.5,3.8,Provo District,4664 N CANYON RD,84604,"geo:40.295388,-111.652293",Private
provo peaks school,provo,80.5,5.7,Provo District,665 E CENTER ST,84606,"geo:40.23515,-111.647597",Private
parkside school,clinton,93.6,2.1,Davis District,2262 N 1500 W,84015,"geo:41.146487,-112.054591",Private
coral canyon school,washington,77.5,19.7,Washington District,3435 CANYON CREST AVE,84780,"geo:37.162594,-113.452872",Private
spanish oaks school,spanish fork,88.4,11.6,Nebo District,2701 E CANYON CREST DR,84660,"geo:40.085759,-111.609163",Private
horizon school,washington,82.0,17.0,Washington District,1970 S ARABIAN WAY,84780,"geo:37.10322,-113.490758",Private
old mill school,heber city,82.6,15.1,Wasatch District,1600 E 980 S,84032,"geo:40.495416,-111.390043",Private
overlake school,tooele,86.7,10.0,Tooele District,2052 N 170 W,84074,"geo:40.566511,-112.306321",Private
willow school,grantsville,93.8,6.2,Tooele District,439 S WILLOW ST,84029,"geo:40.587628,-112.448309",Private
edith bowen laboratory school,logan,91.7,8.3,Edith Bowen Laboratory School,6700 OLD MAIN HILL,84322,"geo:41.745107,-111.808807",Public Charter
freedom school,hooper,92.2,5.6,Weber District,4555 W 5500 S,84315,"geo:41.162058,-112.090862",Private
spring creek school,provo,91.5,1.7,Provo District,1740 S NEVADA AVE,84606,"geo:40.209114,-111.626033",Private
cs lewis academy,santaquin,97.1,2.9,,,,,Public
spring lake school,payson,84.8,15.2,Nebo District,1750 S 500 W,84651,"geo:40.015418,-111.738933",Private
dual immersion academy,salt lake city,98.1,1.9,Dual Immersion Academy,1155 S GLENDALE DRIVE,84104,"geo:40.744277,-111.932652",Public Charter
canyon rim academy,salt lake city,89.9,8.9,Canyon Rim Academy,3005 S 2900 E,84109,"geo:40.706027,-111.810022",Public Charter
deerfield school,cedar hills,83.6,16.4,Alpine District,4353 W HARVEY BLVD,84062,"geo:40.405652,-111.762726",Private
legacy preparatory academy,north salt lake,91.2,8.8,,,,,Public
foothill school,orem,88.9,7.4,Alpine District,921 N 1240 E,84097,"geo:40.314029,-111.667229",Private
creekside school,kaysville,96.1,1.3,Davis District,275 W MUTTON HOLLOW RD,84037,"geo:41.050084,-111.942631",Private
bluff ridge school,syracuse,89.6,5.2,Davis District,2680 S Bluff Ridge Dr,84075,"geo:41.075671,-112.040903",Private
renaissance academy,lehi,84.9,14.0,,,,,Public
lakeside school,west point,92.2,5.9,Davis District,2941 W 800 N,84015,"geo:41.124526,-112.082305",Private
hayden peak school,west jordan,90.2,1.2,Jordan District,5120 W HAYDEN PEAK DR,84081,"geo:40.605147,-112.01382",Private
lakeview academy,saratoga springs,83.3,16.7,,,,,Public
fox hollow school,lehi,84.5,13.1,Alpine District,1450 W 3200 N,84043,"geo:40.428143,-111.873467",Private
ridgeline school,highland,86.2,10.8,Alpine District,6250 W 11800 N,84003,"geo:40.446513,-111.808099",Private
iron springs school,cedar city,87.2,12.8,Iron District,235 N 4050 W,84720,"geo:37.682289,-113.132471",Private
three peaks school,cedar city,81.7,18.3,Iron District,1685 W MIDVALLEY ROAD,84721,"geo:37.765019,-113.078419",Private
mount mahogany school,pleasant grove,91.0,6.4,Alpine District,618 N 1300 W,84062,"geo:40.370571,-111.75842",Private
willow springs school,draper,88.3,7.8,Canyons District,13288 S LONE ROCK DRIVE,84020,"geo:40.509768,-111.876585",Private
trailside school,park city,86.1,7.9,Park City District,5700 TRAILSIDE DR,84098,"geo:40.715198,-111.503122",Private
pony express school,eagle mountain,90.0,7.9,Alpine District,3985 E SMITH RANCH RD,84005,"geo:40.358922,-111.96694",Private
ellison park school,layton,90.5,6.3,Davis District,800 N COLDCREEK WAY,84041,"geo:41.06708,-111.998255",Private
snow horse school,kaysville,93.3,6.7,Davis District,1095 W SMITH LANE,84037,"geo:41.022608,-111.959901",Private
guadalupe school,salt lake city,97.8,0.0,Guadalupe School,1385 N 1200 W,84116,"geo:40.7991155,-111.926118",Public Charter
settlement canyon school,tooele,95.0,0.0,Tooele District,935 WEST TIMPIE ROAD,84074,"geo:40.513954,-112.322266",Private
heritage school,layton,90.3,9.7,Davis District,1354 W WEAVER LANE,84041,"geo:41.045397,-111.99158",Private
open classroom,salt lake city,74.4,15.4,Open Classroom,134 D STREET,84103,"geo:40.772482,-111.87882",Public Charter
escalante school,salt lake city,97.6,2.4,Salt Lake District,1810 W 900 N,84116,"geo:40.789569,-111.941993",Private
midas creek school,riverton,93.3,6.7,Jordan District,11901 S PARK HAVEN LANE,84096,"geo:40.530043,-111.997157",Private
bruin point school,sunnyside,58.8,23.5,Carbon District,PO BOX 399,84539,"geo:39.549538,-110.403627",Private
freedom school,highland,86.5,13.5,Alpine District,10326 N 6800 W,84003,"geo:40.420005,-111.820173",Private
mountain green school,mountain green,78.9,21.1,Morgan District,6064 N SILVER LEAF DR,84050,"geo:41.143572,-111.759025",Private
falcon ridge school,west jordan,90.9,5.2,Jordan District,6111 W 7000 S,84081,"geo:40.623772,-112.036717",Private
mountainside school,mendon,87.9,12.1,Cache District,235 E 125 N,84325,"geo:41.710981,-111.970393",Private
saratoga shores school,saratoga springs,87.3,9.9,Alpine District,1415 S PARKSIDE DR,84045,"geo:40.335594,-111.920612",Private
sand springs school,layton,93.9,4.9,Davis District,242 N 3200 W,84041,"geo:41.063511,-112.025078",Private
sage hills school,saratoga springs,88.2,11.8,Alpine District,3033 SWAINSON AVE,84045,"geo:40.306648,-111.895001",Private
foxboro school,north salt lake,86.3,5.9,Davis District,487 N FOXBORO DRIVE,84054,"geo:40.852768,-111.940166",Private
american preparatory academy the school for new americans,west valley city,92.5,1.1,,,,,Public
lakeview school,provo,90.7,7.5,Provo District,2899 W 1390 N,84601,"geo:40.251961,-111.709631",Private
silver hills school,kearns,82.0,1.6,Granite District,5770 W 5100 S,84118,"geo:40.65944,-112.027986",Private
lincoln academy,pleasant grove,75.7,24.3,,,,,Public
canyon school,hyrum,89.8,7.4,Cache District,270 S 1300 E,84319,"geo:41.62936,-111.819993",Private
rose springs school,stansbury park,90.0,10.0,Tooele District,5349 N INSBROOK PLACE,84074,"geo:40.626159,-112.293675",Private
maria montessori academy,ogden,78.8,15.4,Maria Montessori Academy,2505 N 200 E,84414,"geo:41.30365,-111.97674",Public Charter
cherry creek school,springville,85.2,13.1,Nebo District,484 S 200 E,84663,"geo:40.159786,-111.607192",Private
bear river charter school,logan,97.0,3.0,Bear River Charter School,75 S 400 W,84321,"geo:41.730152,-111.845523",Public Charter
east meadows school,spanish fork,86.6,9.0,Nebo District,1287 S 2130 E,84660,"geo:40.093977,-111.619185",Private
foothills school,salem,90.2,9.8,Nebo District,412 S 810 E,84653,"geo:40.048208,-111.657232",Private
weilenmann school of discovery,park city,94.6,5.4,Weilenmann School of Discovery,4199 W KILBY ROAD,84098,"geo:40.751592,-111.593779",Public Charter
orchard hills school,santaquin,89.2,10.8,Nebo District,168 E 610 S,84655,"geo:39.985948,-111.782117",Private
sierra bonita elementary,spanish fork,86.5,13.5,Nebo District,53 S 1800 E,84660,"geo:40.108777,-111.622879",Private
noah webster academy,orem,91.9,5.4,Noah Webster Academy,205 E 400 S,84058,"geo:40.289893,-111.690456",Public Charter
mountainville academy,alpine,77.9,21.1,,,,,Public
traverse mountain school,lehi,86.7,12.2,Alpine District,2500 W CHAPEL RIDGE RD,84043,"geo:40.446351,-111.888568",Private
channing hall,draper,66.2,12.7,Channing Hall,13515 S 150 E,84020,"geo:40.505924,-111.885119",Public Charter
saint marguerite catholic school,tooele,100.0,0.0,,,,,Public
providence hall,herriman,79.1,10.8,,,,,Public
quest academy,west haven,90.4,9.6,,,,,Public
eagle view school,fort duchesne,85.0,10.0,,,,,Public
vista school,ivins,79.3,20.7,Vista School,585 E CENTER STREET,84738,"geo:37.168762,-113.666325",Public Charter
north point school,lehi,85.8,11.7,Alpine District,2300 W 1901 N,84043,"geo:40.410436,-111.887884",Private
silver crest school,herriman,90.4,5.3,Jordan District,12937 S ELEMENTARY DR,84096,"geo:40.516567,-112.021693",Private
shadow valley school,ogden,87.5,5.0,Ogden City District,4911 S 1500 E,84403,"geo:41.174041,-111.942366",Private
kauri sue hamilton,riverton,94.1,0.0,,,,,Public
elk run elementary,magna,94.8,3.1,Granite District,3550 S HELEN DR,84044,"geo:40.69678,-112.096005",Private
endeavor hall,west valley city,82.9,0.0,Endeavor Hall,2614 S DECKER LAKE LANE,84119,"geo:40.7132549,-111.944114",Public Charter
fox hollow school,west jordan,90.1,7.7,Jordan District,6020 W 8200 S,84081,"geo:40.602192,-112.036807",Private
good foundations academy,riverdale,82.5,14.3,Good Foundations Academy,5101 S 1050 W,84405,"geo:41.169097,-112.005765",Public Charter
riverview school,saratoga springs,84.7,9.0,Alpine District,273 W ASPEN HILLS BLVD,84045,"geo:40.391566,-111.92988",Private
thunder ridge school,saratoga springs,83.2,14.4,Alpine District,264 N. 750 W,84045,"geo:40.365891,-111.929182",Private
american heritage school american fork,american fork,97.8,2.2,,,,,Public
aspen school,orem,92.0,6.0,Alpine District,945 W 2000 N,84057,"geo:40.333162,-111.719552",Private
barratt school,american fork,89.9,5.8,Alpine District,168 N 900 E,84003,"geo:40.380442,-111.772094",Private
bonneville school,orem,85.7,8.6,Alpine District,1245 N 800 W,84057,"geo:40.320167,-111.715885",Private
cascade school,orem,88.0,6.0,Alpine District,860 E 200 N,84097,"geo:40.758148,-111.8835328",Private
cedar ridge school,cedar hills,91.4,6.2,Alpine District,4501 W CEDAR HILLS DR,84062,"geo:40.414756,-111.766286",Private
central school,pleasant grove,90.3,8.1,Alpine District,95 N 400 E,84062,"geo:40.364901,-111.733926",Private
alpine school,alpine,85.7,10.2,Alpine District,400 E 300 N,84004,"geo:40.456685,-111.770533",Private
eaglecrest school,lehi,85.9,11.8,Alpine District,2760 N 300 W,84043,"geo:40.422548,-111.8536",Private
forbes school,american fork,86.7,6.0,Alpine District,281 N 200 E,84003,"geo:40.382456,-111.793877",Private
manila school,pleasant grove,91.5,8.5,Alpine District,1726 N 600 W,84062,"geo:40.382278,-111.748468",Private
rocky mountain school,lindon,96.7,1.6,Alpine District,55 S 500 E,84042,"geo:40.3366,-111.702467",Private
greenwood school,american fork,90.7,6.5,Alpine District,50 E 200 S,84003,"geo:40.371981,-111.796901",Private
grovecrest school,pleasant grove,93.0,3.5,Alpine District,1037 N 300 E,84062,"geo:40.374673,-111.737708",Private
orchard school,orem,64.4,30.5,Alpine District,1035 N 800 E,84097,"geo:40.316383,-111.677646",Private
meadow school,lehi,87.5,12.5,Alpine District,176 S 500 W,84043,"geo:40.385503,-111.858168",Private
sego lily school,lehi,91.1,5.1,Alpine District,550 E 900 N,84043,"geo:40.398257,-111.841747",Private
northridge school,orem,88.0,12.0,Alpine District,1660 N 50 E,84057,"geo:40.327999,-111.694311",Private
lindon school,lindon,92.1,4.8,Alpine District,30 N MAIN,84042,"geo:40.338753,-111.714473",Private
highland school,highland,78.4,21.6,Alpine District,10865 N 6000 W,84003,"geo:40.42892,-111.803673",Private
shelley school,american fork,91.3,6.5,Alpine District,602 N 200 W,84003,"geo:40.388687,-111.802674",Private
orem school,orem,86.0,4.7,Alpine District,450 W 400 S,84058,"geo:40.290636,-111.706788",Private
legacy school,american fork,91.8,8.2,Alpine District,28 E 1340 N,84003,"geo:40.402577,-111.797357",Private
lehi school,lehi,90.0,6.2,Alpine District,765 N CENTER,84043,"geo:40.39707,-111.850855",Private
vineyard school,vineyard,81.2,10.4,Alpine District,620 E HOLDAWAY RD,84058,"geo:40.289164,-111.73761",Private
westmore school,orem,83.9,6.5,Alpine District,1150 S MAIN,84058,"geo:40.276684,-111.696851",Private
windsor school,orem,96.8,1.6,Alpine District,1315 N MAIN,84057,"geo:40.321221,-111.696735",Private
belknap school,beaver,98.2,1.8,Beaver District,500 N 650 E P O BOX 686,84713,"geo:38.278523,-112.64197",Private
milford school,milford,96.6,3.4,Beaver District,450 S 700 W P O BOX 309,84751,"geo:38.393988,-113.01975",Private
century school,bear river city,78.1,13.7,Box Elder District,5820 N 4800 W PO BOX 159,84301,"geo:41.6152,-112.129109",Private
windridge school,kaysville,96.2,1.9,Davis District,1300 S 700 E,84037,"geo:41.013479,-111.923345",Private
sunset school,sunset,90.0,6.0,Davis District,2014 N 250 W,84015,"geo:41.142614,-112.030082",Private
syracuse school,syracuse,92.3,1.9,Davis District,1503 S 2000 W,84075,"geo:41.092298,-112.063821",Private
reading school,centerville,78.0,7.3,Davis District,360 W 2025 N,84014,"geo:40.947959,-111.884256",Private
silver mesa school,sandy,88.2,9.2,Canyons District,8920 S 1700 E,84093,"geo:40.589341,-111.844689",Private
westridge school,provo,87.8,4.9,Provo District,1720 W 1460 N,84604,"geo:40.254199,-111.688396",Private
howard r driggs school,salt lake city,89.5,5.3,,,,,Public
john c fremont school,taylorsville,89.7,1.7,,,,,Public
james e moss school,salt lake city,83.9,2.2,,,,,Public
lake ridge school,magna,89.7,2.6,Granite District,7400 W 3400 S,84044,"geo:40.698989,-112.06849",Private
jackling school,west valley city,87.1,1.6,Granite District,3760 S 4610 W,84120,"geo:40.690392,-112.001733",Private
lincoln school,salt lake city,98.5,0.0,Granite District,450 E 3700 S,84115,"geo:40.690375,-111.879097",Private
altara school,sandy,88.4,11.6,Canyons District,800 E 11000 S,84094,"geo:40.550782,-111.868793",Private
magna school,magna,81.9,2.8,,,,,Public
waterford school,sandy,88.2,3.9,Waterford School,1480 E 9400 S,84093,"geo:40.579654,-111.849057",Private
sandy school,sandy,86.4,4.9,Canyons District,8725 S 280 E,84070,"geo:40.593027,-111.880506",Private
rosamond school,riverton,91.8,4.9,Jordan District,12195 S 1975 W,84065,"geo:40.529773,-111.94284",Private
sunrise school,sandy,90.5,6.8,Canyons District,1520 E 11245 S,84092,"geo:40.60849,-111.90104",Private
art city school,springville,86.0,12.3,Nebo District,121 N 900 E,84663,"geo:40.168152,-111.59459",Private
barnett school,payson,85.3,13.2,Nebo District,456 N 300 E,84651,"geo:40.049474,-111.728474",Private
westvale school,west jordan,90.3,4.8,Jordan District,2300 W 8660 S,84088,"geo:40.594834,-111.949582",Private
blanding school,blanding,86.2,8.6,San Juan District,302 S 100 W,84511,"geo:37.62116,-109.480493",Private
westland school,west jordan,90.5,6.3,Jordan District,2925 W 7180 S,84084,"geo:40.620236,-111.963391",Private
willow canyon school,sandy,91.7,6.2,Canyons District,9650 S 1700 E,84092,"geo:40.575983,-111.846688",Private
fairview school,fairview,70.0,26.7,North Sanpete District,651 E 150 N,84629,"geo:39.631514,-111.425978",Private
discovery school,brigham city,92.3,3.8,Box Elder District,820 N 500 W,84302,"geo:41.526596,-112.021951",Private
fielding school,fielding,91.1,7.8,Box Elder District,98 W MAIN P O BOX 98,84311,"geo:41.815021,-112.11749",Private
garland school,garland,78.7,20.2,Box Elder District,450 S. 100 W.,84312,"geo:41.743799,-112.162549",Private
lincoln school,hyrum,86.4,7.6,Cache District,90 S CENTER,84319,"geo:41.632526,-111.855857",Private
millville school,millville,85.5,10.1,Cache District,67 S MAIN P O BOX 230,84326,"geo:41.680628,-111.824218",Private
north park school,north logan,83.3,11.1,Cache District,2800 N 800 E,84341,"geo:41.783311,-111.812299",Private
white pine school,richmond,87.5,8.3,Cache District,184 W 100 N,84333,"geo:41.926339,-111.81308",Private
lake view school,brigham city,91.7,6.2,Box Elder District,851 S 200 W,84302,"geo:41.49399,-112.018521",Private
mckinley school,tremonton,88.8,10.1,Box Elder District,120 W 500 S,84337,"geo:41.705856,-112.168219",Private
providence school,providence,89.0,8.5,Cache District,91 E CENTER,84332,"geo:41.708293,-111.815887",Private
river heights school,logan,90.7,8.0,Cache District,780 E 600 S,84321,"geo:41.72061,-111.817247",Private
north park school,tremonton,86.9,9.3,Box Elder District,50 E 700 N,84337,"geo:41.721249,-112.165894",Private
summit school,smithfield,95.0,4.0,Cache District,80 W CENTER,84335,"geo:41.836543,-111.834194",Private
lewiston school,lewiston,92.7,5.5,Cache District,181 S 200 E,84320,"geo:41.9721964,-111.8533951",Private
sunrise school,smithfield,86.8,9.2,Cache District,225 S 455 E,84335,"geo:41.831537,-111.821009",Private
wellsville school,wellsville,98.0,2.0,Cache District,525 N. 200 W.,84339,"geo:41.6489756,-111.9415014",Private
willard school,willard,90.8,9.2,Box Elder District,40 W 50 S,84340,"geo:41.408495,-112.037128",Private
castle heights school,price,83.9,16.1,Carbon District,750 N HOMESTEAD BLVD,84501,"geo:39.612555,-110.784446",Private
castle valley center,price,76.5,0.0,,,,,Public
creekview school,price,84.7,5.1,Carbon District,590 W 500 S,84501,"geo:39.592956,-110.819499",Private
sally mauro school,helper,100.0,0.0,Carbon District,20 - 2ND AVE,84526,"geo:39.689714,-110.864696",Private
wellington school,wellington,94.4,5.6,Carbon District,250 W 200 N P O BOX 407,84542,"geo:39.544672,-110.731907",Private
hill field school,clearfield,91.1,7.6,Davis District,389 S 1000 E,84015,"geo:41.10812,-112.005195",Private
clinton school,clinton,93.3,1.7,Davis District,1101 W 1800 N,84015,"geo:41.1392,-112.04745",Private
cook school,syracuse,85.0,10.0,Davis District,1175 W 1350 S,84075,"geo:41.093628,-112.048739",Private
holt school,clearfield,84.5,1.7,Davis District,448 N 1000 W,84015,"geo:41.120457,-112.044156",Private
taylor school,centerville,90.7,7.0,Davis District,293 E PAGES LN,84014,"geo:40.907003,-111.875024",Private
crestview school,layton,78.8,12.1,Davis District,185 W GOLDEN AVE,84041,"geo:41.069986,-111.970163",Private
doxey school,sunset,89.6,2.1,Davis District,944 N 250 W,84015,"geo:41.127662,-112.029788",Private
knowlton school,farmington,83.3,13.0,Davis District,801 SHEPARD LANE,84025,"geo:41.000118,-111.905067",Private
kaysville school,kaysville,90.7,7.4,Davis District,50 N 100 E,84037,"geo:41.035647,-111.935675",Private
east layton school,east layton,90.7,7.0,Davis District,2470 E CHERRY LANE,84041,"geo:41.080224,-111.918747",Private
king school,layton,84.6,10.8,Davis District,601 E 1000 N,84041,"geo:41.075236,-111.953502",Private
columbia school,kaysville,90.5,7.9,Davis District,378 S 50 W,84037,"geo:41.027427,-111.93871",Private
farmington school,farmington,89.8,10.2,Davis District,50 W 200 S,84025,"geo:40.977522,-111.889283",Private
morgan school,kaysville,86.3,12.3,Davis District,1065 THORNFIELD RD,84037,"geo:41.051653,-111.9196",Private
muir school,bountiful,93.8,4.6,Davis District,2275 S DAVIS BLVD,84010,"geo:40.86472,-111.870573",Private
holbrook school,bountiful,92.9,7.1,Davis District,1018 E 250 N,84010,"geo:40.891843,-111.860294",Private
valley view school,bountiful,94.1,5.9,Davis District,1395 S 600 E,84010,"geo:40.874401,-111.868346",Private
lincoln school,layton,82.4,2.9,Davis District,591 W Antelope Dr,84041,"geo:41.088465,-111.976808",Private
layton school,layton,87.0,5.8,Davis District,369 W GENTILE,84041,"geo:41.059608,-111.972998",Private
adelaide school,bountiful,90.4,7.7,Davis District,731 W 3600 S,84010,"geo:40.849951,-111.899569",Private
antelope school,clearfield,84.5,8.3,Davis District,1810 S MAIN,84015,"geo:41.087234,-112.026978",Private
boulton school,bountiful,84.7,13.6,Davis District,2611 S ORCHARD DR,84010,"geo:40.86086,-111.884733",Private
bountiful school,bountiful,86.7,6.7,Davis District,1620 S 50 W,84010,"geo:40.873608,-111.882705",Private
meadowbrook school,bountiful,75.6,4.4,Davis District,700 N 325 W,84010,"geo:40.896858,-111.888429",Private
oak hills school,bountiful,89.1,7.3,Davis District,1235 E 600 S,84010,"geo:40.883124,-111.85514",Private
h c burton school,kaysville,95.3,4.7,Davis District,827 E 200 S,84037,"geo:41.032473,-111.919302",Private
centerville school,centerville,86.3,11.8,Davis District,350 N 100 E,84014,"geo:40.920867,-111.876422",Private
orchard school,north salt lake,89.6,4.5,Davis District,205 E CENTER STREET,84054,"geo:40.842685,-111.906418",Private
woods cross school,woods cross,85.7,3.2,Davis District,745 W 1100 S,84087,"geo:40.877955,-111.899202",Private
tolman school,bountiful,94.6,5.4,Davis District,300 E 1200 N,84010,"geo:40.901038,-111.87528",Private
wasatch school,clearfield,88.5,0.0,Davis District,210 E Center St,84015,"geo:40.87169,-111.86206",Private
mountain view school,layton,89.5,9.2,Davis District,2025 E 3100 N,84040,"geo:41.104827,-111.928024",Private
south clearfield school,clearfield,90.6,2.4,Davis District,990 E 700 S,84015,"geo:41.102865,-112.007949",Private
west bountiful school,west bountiful,89.9,10.1,Davis District,500 N 800 West,84087,"geo:40.894864,-111.900597",Private
saint olaf catholic school,bountiful,88.9,5.6,,,,,Public
south weber school,south weber,89.3,9.7,Davis District,1285 E LESTER ST,84405,"geo:41.131615,-111.947463",Private
stewart school,centerville,75.9,16.7,Davis District,1155 N MAIN ST,84014,"geo:40.931251,-111.879735",Private
west clinton school,clinton,91.4,1.7,Davis District,2826 W 1800 N,84015,"geo:41.140484,-112.080326",Private
west point school,west point,88.2,8.8,Davis District,3788 W 300 N,84015,"geo:41.118626,-112.098076",Private
whitesides school,layton,89.8,8.5,Davis District,233 N COLONIAL AVE,84041,"geo:41.064066,-111.952867",Private
vae view school,layton,82.8,6.9,Davis District,1750 W 1600 N,84041,"geo:41.083457,-111.998499",Private
altamont school,altamont,82.6,15.2,Duchesne District,190 W MAIN P O BOX 40,84001,"geo:40.358869,-110.287345",Private
duchesne school,duchesne,85.4,14.6,Duchesne District,DRAWER 370 198 W 300 N,84021,"geo:40.166233,-110.404531",Private
east school,roosevelt,82.1,10.7,Duchesne District,700 E 400 N,84066,"geo:40.30533,-109.981271",Private
myton school,myton,85.2,3.7,Duchesne District,P O BOX 186 400 E MAIN,84052,"geo:40.194357,-110.056167",Private
neola school,neola,85.7,14.3,Duchesne District,P O BOX 220 8709 N STATE RD 121,84053,"geo:40.428104,-110.033218",Private
tabiona school,tabiona,64.7,17.6,Duchesne District,P O BOX 470 10 N MAIN,84072,"geo:40.353386,-110.707986",Private
crestview school,salt lake city,90.6,4.7,Granite District,2100 E LINCOLN LANE,84124,"geo:40.680601,-111.830898",Private
valley academy,hurricane,63.0,21.0,Valley Academy,539 N 870 W,84737,"geo:37.187385,-113.290479",Public Charter
david gourley school,kearns,84.4,1.6,Granite District,4905 S 4300 W,84118,"geo:40.662537,-111.992906",Private
adams school,layton,92.0,6.8,Davis District,2200 E Sunset Drive,84041,"geo:41.095007,-111.925467",Private
mana academy charter school,west valley city,88.5,3.8,,,,,Public
mountain view montessori,washington,58.3,39.6,Mountain View Montessori,1160 N. 645 W,84780,"geo:37.1472584,-113.5202387",Public Charter
blackridge school,herriman,88.6,11.4,Jordan District,14131 South Rosecrest Road,84096,"geo:40.5003502,-112.0387271",Private
dry creek school,lehi,94.8,0.0,Alpine District,1301 W. 1450 S.,84043,"geo:40.4139705,-111.8687955",Private
black ridge school,eagle mountain,80.6,19.4,Alpine District,9358 N. Sunset Drive,84005,"geo:40.3820513,-111.9927305",Private
renaissance academy,kaysville,84.9,14.0,,,,,Public
odyssey school,woods cross,95.2,3.2,Davis District,2050 S 1955 W,84087,"geo:40.8690391,-111.9398237",Private
kings peak school,roosevelt,81.1,18.9,Duchesne District,437 N 300 W (4252),84066,"geo:40.305386,-109.998364",Private
highmark charter school,south weber,83.3,16.7,,,,,Public
wasatch school,ogden,81.8,9.1,Ogden City District,3370 POLK AVE,84403,"geo:41.201861,-111.943045",Private
lincoln school,ogden,89.1,3.6,Ogden City District,550 E Canfield,84404,"geo:41.281,-111.96505",Private
crimson view school,st george,68.7,31.3,Washington District,2835 E. 2000 S.,84790,"geo:37.075015,-113.525625",Private
neil armstrong academy,west valley city,91.1,6.3,,,,,Public
leadership learning academy,layton,95.7,4.3,Leadership Learning Academy,100 West 2675 North,84041,"geo:41.099122,-111.968474",Public Charter
jefferson academy,kaysville,85.9,14.1,Jefferson Academy,1425 S ANGEL ST,84037,"geo:41.011475,-111.958101",Public Charter
mountain west montessori academy,south jordan,78.8,21.2,Mountain West Montessori Academy,4125 W Foxview Dr.,84009,"geo:40.541111,-111.988819",Public Charter
tse'bii'nidzisgai school,monument valley,92.6,7.4,San Juan District,10 W MEDICAL DR PO BOX 360448,84536,"geo:37.26071,-109.30444",Private
ogden preparatory academy,ogden,96.2,2.9,,,,,Public
pacific heritage academy,salt lake city,87.9,3.0,Pacific Heritage Academy,1755 W 1100 N,84116,"geo:40.792887,-111.940417",Public Charter
cherry hill school,orem,86.9,3.3,Alpine District,240 E 1650 S,84058,"geo:40.266615,-111.6895",Private
eagle valley school,eagle mountain,83.5,16.5,Alpine District,4475 N HERITAGE DR,84005,"geo:40.312559,-112.011596",Private
harvest school,saratoga springs,85.6,10.4,Alpine District,2105 N PROVIDENCE DRIVE,84045,"geo:40.400551,-111.933454",Private
ascent academies of utah west jordan,west jordan,94.7,4.0,Ascent Academies of Utah,5662 W 8200 S,84081,"geo:40.602369,-112.0289025",Public Charter
greenville school,north logan,93.3,3.3,Cache District,2450 N 400 E,84341,"geo:41.776954,-111.821963",Private
ridgecrest school,cottonwood heights,92.9,2.9,Canyons District,1800 E 7200 S,84121,"geo:40.619238,-111.840618",Private
carmen b pingree autism center of learning,salt lake city,100.0,0.0,,,,,Public
early light academy at daybreak,south jordan,90.2,9.8,,,,,Public
excelsior academy,erda,91.9,8.1,,,,,Public
george washington academy,st george,85.4,14.6,George Washington Academy,2277 S 3000 E,84790,"geo:37.069825,-113.522052",Public Charter
fox hills school,salt lake city,91.0,3.8,Granite District,3775 W 6020 S,84118,"geo:40.64066,-111.981114",Private
taylorsville school,salt lake city,84.8,0.0,Granite District,2010 W 4230 S,84119,"geo:40.679449,-111.944464",Private
daybreak school,south jordan,83.6,6.6,Jordan District,4544 W HARVEST MOON DR,84009,"geo:40.539626,-111.99922",Private
eastlake school,south jordan,95.8,2.1,Jordan District,4389 W ISLA DAYBREAK ROAD,84009,"geo:40.555113,-111.995642",Private
