School,City,Adequately immunized %,Exempt %,District/LEA,Address,Zip,Map,school_type
pleasant green school,magna,91.0,3.0,Granite District,8201 W 2700 S,84044,"geo:40.709185,-112.086501",Private
william penn school,salt lake city,91.2,1.2,Granite District,1670 SIGGARD DR,84106,"geo:40.690825,-111.844453",Private
woodrow wilson school,salt lake city,100.0,0.0,Granite District,2567 S MAIN STREET,84115,"geo:40.714379,-111.889691",Private
redwood school,west valley city,72.7,0.0,,,,,Public
rolling meadows school,west valley city,98.2,1.8,Granite District,2950 WHITEHALL DR,84119,"geo:40.685273,-111.961791",Private
olene walker elementary,salt lake city,81.1,0.0,Granite District,3225 S 800 E,84106,"geo:40.701197,-111.867614",Private
academy park school,west valley city,85.2,1.9,Granite District,4580 WESTPOINT DR,84120,"geo:40.67008,-111.999965",Private
rosecrest school,salt lake city,78.4,5.9,Granite District,2420 FISHER LN,84109,"geo:40.706282,-111.8209",Private
harry s truman school,west valley city,92.9,2.4,,,,,Public
arcadia school,taylorsville,88.1,1.7,Granite District,3461 W 4850 S,84118,"geo:40.6631,-111.973372",Private
thomas w bacchus school,kearns,95.0,0.0,,,,,Public
jim bridger school,west jordan,100.0,0.0,Granite District,5368 W CYCLAMEN WAY,84084,"geo:40.635447,-112.02033",Private
bennion school,salt lake city,85.5,10.1,Granite District,5775 S SIERRA GRANDE DR,84118,"geo:40.646747,-111.961378",Private
beehive school,kearns,93.2,1.4,Granite District,5655 S 5220 W,84118,"geo:40.648583,-112.014011",Private
copper hills school,magna,92.5,1.2,Granite District,7635 W 3715 S,84044,"geo:40.690897,-112.073467",Private
cottonwood school,salt lake city,82.7,17.3,Granite District,5205 HOLLADAY BLVD,84117,"geo:40.656536,-111.815692",Private
hunter school,west valley city,88.0,1.2,Granite District,4351 S 5400 W,84120,"geo:40.676076,-112.018411",Private
calvin s smith school,taylorsville,95.6,4.4,,,,,Public
alta view school,sandy,87.7,9.9,Canyons District,917 E LARKSPUR DR,84094,"geo:40.56368,-111.865942",Private
upland terrace school,salt lake city,92.5,1.5,Granite District,3700 S 2860 E,84109,"geo:40.690232,-111.811867",Private
south kearns school,kearns,86.2,7.5,Granite District,4430 W 5570 S,84118,"geo:40.650268,-111.996845",Private
stansbury school,west valley city,91.0,0.0,Granite District,3050 S 2700 W,84119,"geo:40.705786,-111.959028",Private
bella vista school,cottonwood heights,85.0,7.5,,,,,Public
intermountain christian school,salt lake city,52.9,47.1,,,,,Public
vista school,taylorsville,95.7,1.4,Granite District,4925 S 2200 W,84118,"geo:40.662896,-111.947691",Private
brookwood school,sandy,95.7,4.3,Canyons District,8640 S SNOWBIRD DR,84093,"geo:40.594172,-111.820617",Private
st francis xavier catholic school,kearns,100.0,0.0,,,,,Public
valley crest school,west valley city,96.2,1.9,,,,,Public
east sandy school,sandy,88.7,11.3,Canyons District,8295 S 870 E,84094,"geo:40.600422,-111.866179",Private
saint vincent de paul elementary,salt lake city,100.0,0.0,,,,,Public
woodstock school,salt lake city,89.9,6.7,Granite District,6015 S 1300 E,84121,"geo:40.641219,-111.853981",Private
elk meadows school,south jordan,91.7,6.7,Jordan District,3448 W 9800 S,84095,"geo:40.574145,-111.97313",Private
cedar east school,cedar city,89.2,8.1,Iron District,255 E COLLEGE AVE,84720,"geo:37.676642,-113.057007",Private
cedar north school,cedar city,81.5,16.3,Iron District,550 W 200 N,84720,"geo:37.681962,-113.070749",Private
granite school,sandy,76.1,15.2,Canyons District,9760 S 3100 E,84092,"geo:40.573839,-111.807569",Private
cedar south school,cedar city,90.0,10.0,Iron District,499 W 400 S,84720,"geo:37.669893,-113.07042",Private
escalante valley school,beryl,68.4,31.6,Iron District,202 N BERYL HWY,84714,"geo:37.712105,-113.655976",Private
heartland school,west jordan,92.2,7.8,Jordan District,1451 W 7000 S,84084,"geo:40.623947,-111.933026",Private
jordan ridge school,south jordan,88.0,8.0,Jordan District,2636 W 9800 S,84095,"geo:40.573857,-111.956624",Private
jordan hills school,west jordan,92.3,1.5,Jordan District,8892 S 4800 W,84088,"geo:40.589968,-112.006314",Private
oak hollow school,draper,87.0,7.2,Canyons District,14400 S 884 E,84020,"geo:40.49304,-111.867457",Private
lone peak school,sandy,86.9,13.1,Canyons District,11515 S HIGH MESA DR,84092,"geo:40.54178,-111.826508",Private
majestic school,west jordan,90.9,9.1,Jordan District,7430 S 1700 W,84084,"geo:40.616034,-111.941113",Private
midvalley school,midvale,86.7,7.1,Canyons District,217 E 7800 S,84047,"geo:40.611046,-111.883801",Private
south jordan school,south jordan,84.0,11.3,Jordan District,11205 S BLACK CHERRY WAY,84095,"geo:40.547465,-111.93213",Private
southland school,riverton,87.0,11.6,Jordan District,12675 S 2700 W,84065,"geo:40.520884,-111.9567",Private
monte vista school,south jordan,90.7,7.0,Jordan District,11121 S 2700 W,84095,"geo:40.548604,-111.95671",Private
terra linda school,west jordan,84.3,4.3,Jordan District,8400 S 3400 W,84088,"geo:40.59791,-111.974885",Private
rose creek school,riverton,84.1,0.0,Jordan District,12812 S 3600 W,84065,"geo:40.517654,-111.978818",Private
oquirrh school,west jordan,79.5,9.0,Jordan District,7165 S PADDINGTON ROAD,84084,"geo:40.621097,-111.969624",Private
sprucewood school,sandy,87.5,10.4,Canyons District,12025 S 1000 E,84094,"geo:40.532675,-111.861789",Private
oakdale school,cottonwood heights,77.6,13.8,,,,,Public
peruvian park school,sandy,91.8,5.9,Canyons District,1545 E 8425 S,84093,"geo:40.599093,-111.847561",Private
enoch school,enoch,93.3,6.7,Iron District,4701 N WAGON WHEEL,84721,"geo:37.763433,-113.030676",Private
fiddlers canyon school,cedar city,82.9,14.3,Iron District,475 E 1935 N,84721,"geo:37.71307,-113.05381",Private
parowan school,parowan,78.7,19.1,Iron District,128 W 100 N PO BOX 458,84761,"geo:37.844788,-112.830818",Private
fillmore school,fillmore,88.8,11.2,Millard District,555 W 400 S,84631,"geo:38.959947,-112.3387",Private
bluffdale school,bluffdale,82.0,12.0,Jordan District,14323 S 2700 W,84065,"geo:40.491204,-111.956429",Private
columbia school,west jordan,80.5,2.6,Jordan District,3505 W 7800 S,84088,"geo:40.608575,-111.975383",Private
copperview school,midvale,77.3,0.0,Canyons District,8449 S 150 W,84047,"geo:40.597753,-111.8949",Private
